date,gdp,gte,netexp
1/4/2017,19322.92,6542.647,-557.054
1/7/2017,19558.693,6644.987,-523.539
1/10/2017,19882.965,6696.023,-545.832
1/1/2018,20143.716,6790.24,-580.052
1/4/2018,20492.492,6905.927,-539.799
1/7/2018,20659.102,6974.682,-623.971
1/10/2018,20813.325,7049.049,-640.92
1/1/2019,21001.591,7165.638,-606.4
1/4/2019,21289.268,7243.438,-632.287
1/7/2019,21505.012,7319.767,-613.975
1/10/2019,21694.458,7418.355,-532.389
1/1/2020,21481.367,7470.751,-541.718
1/4/2020,19477.444,10910.42,-538.876
1/7/2020,21138.574,9706.163,-725.723
1/10/2020,21477.597,8471.923,-798.431
